precio,tipo_inmueble,alcaldia,estado,m2,recamaras,banos,estacionamientos,url,fuente,precio_por_m2
21230.0,oficina,Benito Juárez,Ciudad de México,11.0,,,,https://www.lamudi.com.mx/detalle/41032-73-258f7f85d8b-e75-19bf0d6-b357-7174,lamudi,1930.0
21560.0,oficina,Benito Juárez,Ciudad de México,11.0,,,,https://www.lamudi.com.mx/detalle/41032-73-1f053bd724c1-2d83-19bf0d6-883b-7ab5,lamudi,1960.0
26751.0,oficina,Benito Juárez,Ciudad de México,18.0,,,,https://www.lamudi.com.mx/detalle/41032-73-da68073d089c-10d8-19bf0c4-9f18-7545,lamudi,1486.1666666666667
19690.0,oficina,Benito Juárez,Ciudad de México,10.0,,,,https://www.lamudi.com.mx/detalle/41032-73-fa90a70c67c1-3368-19bf0d6-a09d-74a6,lamudi,1969.0
26000.0,departamento,Coyoacán,Ciudad de México,76.0,2.0,2.0,,https://www.lamudi.com.mx/detalle/41032-73-3d770b3f504f-1784-19db332-beb5-7534,lamudi,342.10526315789474
21000.0,oficina,Coyoacán,Ciudad de México,62.0,,1.0,,https://www.lamudi.com.mx/detalle/41032-73-6217edb18ee7-ad50-19d2d3b-ac44-75cd,lamudi,338.7096774193548
6530.0,oficina,Coyoacán,Ciudad de México,8.0,,1.0,,https://www.lamudi.com.mx/detalle/41032-73-e6a9c2c3b95d-d09b-19c16af-8d3b-76cc,lamudi,816.25
82000.0,oficina,Coyoacán,Ciudad de México,228.0,,,5.0,https://www.lamudi.com.mx/detalle/41032-73-37eb2b6e92b0-20dc-195d09b-bf77-781e,lamudi,359.64912280701753
18000.0,oficina,Coyoacán,Ciudad de México,60.0,,3.0,,https://www.lamudi.com.mx/detalle/41032-73-fae889947d7e-95e4-19d7b0a-842d-7c30,lamudi,300.0
8000.0,local,Coyoacán,Ciudad de México,32.0,,4.0,12.0,https://www.lamudi.com.mx/detalle/41032-73-61345b1e260b-b6d4-19e99fc-acf9-72c3,lamudi,250.0
14430.0,oficina,Coyoacán,Ciudad de México,37.0,,,,https://www.lamudi.com.mx/detalle/41032-73-75cd3ed8a5ef-b145-19c6c55-a9b0-7451,lamudi,390.0
59900.0,oficina,Coyoacán,Ciudad de México,207.0,,,1.0,https://www.lamudi.com.mx/detalle/41032-73-ba3ae09c580f-3a41-19c2151-bb46-7edc,lamudi,289.3719806763285
79000.0,local,Coyoacán,Ciudad de México,240.0,,2.0,,https://www.lamudi.com.mx/detalle/41032-73-7a7743d2e92-d7a2-19ddc25-a46b-7402,lamudi,329.1666666666667
20200.0,local,Coyoacán,Ciudad de México,34.0,,,,https://www.lamudi.com.mx/detalle/41032-73-14fbbc40e39e-8569-19ddc25-b2af-71f6,lamudi,594.1176470588235
27500.0,oficina,Coyoacán,Ciudad de México,110.0,,1.0,1.0,https://www.lamudi.com.mx/detalle/41032-73-2a7e26d71221-aaf0-19d014a-947c-71dc,lamudi,250.0
25000.0,local,Coyoacán,Ciudad de México,90.0,,,,https://www.lamudi.com.mx/detalle/41032-73-eb8efbee17c8-af31-97dc1e2b-925e-3fef,lamudi,277.77777777777777
33800.0,oficina,Coyoacán,Ciudad de México,110.0,,1.0,2.0,https://www.lamudi.com.mx/detalle/41032-73-40b8ee52bcbd-61c5-19d7b8a-9c1d-7ba2,lamudi,307.27272727272725
5000.0,departamento,Coyoacán,Ciudad de México,9.0,,1.0,,https://www.lamudi.com.mx/detalle/41032-73-8cadebf4316f-5f12-1948765-9e2d-7495,lamudi,555.5555555555555
17000.0,oficina,Coyoacán,Ciudad de México,15.0,,,,https://www.lamudi.com.mx/detalle/41032-73-d2db391680f9-5f3f-19d066b-881f-70ba,lamudi,1133.3333333333333
5200.0,oficina,Coyoacán,Ciudad de México,12.0,,1.0,,https://www.lamudi.com.mx/detalle/41032-73-70490f4b98ee-7b6b-19c20ef-b08c-75b7,lamudi,433.3333333333333
25000.0,casa,Coyoacán,Ciudad de México,195.0,3.0,2.0,3.0,https://www.lamudi.com.mx/detalle/41032-73-b6fc7b1a2503-124e-19eb1ea-bd17-7a62,lamudi,128.2051282051282
8500.0,oficina,Coyoacán,Ciudad de México,33.0,,,1.0,https://www.lamudi.com.mx/detalle/41032-73-27cf708f1570-9bbb-19eae2e-ad63-7285,lamudi,257.57575757575756
20000.0,departamento,Coyoacán,Ciudad de México,119.0,2.0,3.0,1.0,https://www.lamudi.com.mx/detalle/41032-73-841b1a473589-e8eb-19e443a-81ce-7123,lamudi,168.0672268907563
19500.0,oficina,Coyoacán,Ciudad de México,70.0,,,1.0,https://www.lamudi.com.mx/detalle/41032-73-b86995ade984-864a-19a8510-9e01-76e4,lamudi,278.57142857142856
27500.0,local,Coyoacán,Ciudad de México,60.0,,,1.0,https://www.lamudi.com.mx/detalle/41032-73-e54d05d68908-db33-19cfecf-8ebc-74d0,lamudi,458.3333333333333
28000.0,oficina,Coyoacán,Ciudad de México,70.0,,,1.0,https://www.lamudi.com.mx/detalle/41032-73-5212f5bbd71b-32f5-19d9ec6-973f-74c2,lamudi,400.0
18500.0,oficina,Cuajimalpa,Ciudad de México,150.0,,,,https://www.lamudi.com.mx/detalle/41032-73-27c159eeeff4-a6ee-19085c2-8e52-7c94,lamudi,123.33333333333333
25000.0,oficina,Cuajimalpa,Ciudad de México,15.0,,4.0,,https://www.lamudi.com.mx/detalle/41032-73-a2ebb029b29e-f89-19d7b03-bf80-7d17,lamudi,1666.6666666666667
21000.0,oficina,Cuajimalpa,Ciudad de México,20.0,,4.0,,https://www.lamudi.com.mx/detalle/41032-73-8c79e27fcf34-f948-51cdd9e8-a035-3d96,lamudi,1050.0
50000.0,oficina,Cuajimalpa,Ciudad de México,250.0,,2.0,,https://www.lamudi.com.mx/detalle/41032-73-b1a3768fba27-ddd0-19ac31c-9057-739d,lamudi,200.0
9000.0,oficina,Cuajimalpa,Ciudad de México,25.0,,4.0,1.0,https://www.lamudi.com.mx/detalle/41032-73-c2fb9a9e3db3-143d-68ed46b0-8397-33b2,lamudi,360.0
22000.0,oficina,Cuajimalpa,Ciudad de México,14.0,,4.0,,https://www.lamudi.com.mx/detalle/41032-73-2d040351c397-3da9-19d7af8-80a5-7a31,lamudi,1571.4285714285713
12900.0,oficina,Cuajimalpa,Ciudad de México,15.0,,4.0,,https://www.lamudi.com.mx/detalle/41032-73-43b72434cdf6-47f3-7aca75b8-bf79-344f,lamudi,860.0
